Part_ID,Part_Name,Equipment_Family_ID,Equipment_Family,Equipment_Model,Part_Category_ID,Part_Category,Demand_Profile,Criticality,Supplier_ID,Supplier_Region,Unit_Cost_EUR,Storage_Type,Lifecycle_Status,Target_Service_Level,Avg_Weekly_Demand_Seed,ABC_Class,Source_Context,Movement_Class,Movement_Lines_36M,Annual_Lines,Avg_Monthly_Lines,Cumulative_Movement_%,Manual_Location,UDC_Type,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Unit_Volume_cm3,Max_Dimension_mm,Min_Dimension_mm,Stock_Managed,Avg_Daily_Qty,Lead_Time_Weeks,Safety_Stock_Qty,Reorder_Point_Qty,Max_Stock_Qty,Stock_Qty,Total_Qty_36M,Total_Volume_cm3
TC-CON-0343,Basic Line TC Grease Cartridge,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Medium,SUP-015,EU,40.87,Bin,Active,0.94,4.141,A,Anonymised/reconstructed warehouse transition dataset,A+,473,157.7,13.14,7.47,R-I38,VER,1543,689,68,72293,1543,68,1,2.3,1.4,18,35,48,46,1795,3470064
VL-CON-0336,Scissor Lift Air Filter,VL,Vehicle Lift,Scissor Lift,CON,Consumables & service kits,frequent,Medium,SUP-004,EU,29.16,Bin,Active,0.94,4.364,A,Anonymised/reconstructed warehouse transition dataset,A+,395,131.7,10.97,13.72,R-B17,D,258,91,20,470,258,20,1,1.706,1,13,22,38,23,1331,17860
TC-CON-0329,A2024 LL Air Filter,TC,Tyre Changer,A2024 LL,CON,Consumables & service kits,frequent,Medium,SUP-018,EU,43.54,Bin,Active,0.94,3.839,A,Anonymised/reconstructed warehouse transition dataset,A+,313,104.3,8.69,18.66,R-E25,B,61,30,42,77,61,30,1,1.272,1.3,13,22,39,23,993,3003
WA-CON-0631,Exact Precision Lubrication Kit,WA,Wheel Aligner,Exact Precision,CON,Consumables & service kits,frequent,Medium,SUP-020,EU,26.96,Bin,Active,0.94,4.334,A,Anonymised/reconstructed warehouse transition dataset,A+,231,77,6.42,22.31,R-F76,D,177,98,143,2480,177,98,1,0.867,1.3,15,21,32,16,677,79360
TC-CON-0171,Basic Line TC Air Filter,TC,Tyre Changer,Basic Line TC,CON,Consumables & service kits,frequent,Medium,SUP-003,EU,40.68,Bin,Active,0.94,4.441,A,Anonymised/reconstructed warehouse transition dataset,A+,227,75.7,6.31,25.9,R-L86,B,135,132,46,820,135,46,1,1.03,1,6,12,20,17,804,16400
WA-CON-0494,Camera Aligner O-Ring Kit,WA,Wheel Aligner,Camera Aligner,CON,Consumables & service kits,frequent,High,SUP-005,Eastern Europe,14.7,Bin,Active,0.97,4.697,A,Anonymised/reconstructed warehouse transition dataset,A+,227,75.7,6.31,29.49,R-F91,D,299,144,108,4650,299,108,1,0.939,1.4,9,16,28,34,733,130200
VL-CON-0419,ERCO Lift O-Ring Kit,VL,Vehicle Lift,ERCO Lift,CON,Consumables & service kits,frequent,High,SUP-020,EU,20,Bin,Active,0.97,4.491,A,Anonymised/reconstructed warehouse transition dataset,A+,196,65.3,5.44,32.59,R-H98,D,151,131,127,2512,151,127,1,0.898,1.3,13,19,26,12,701,65312
WA-CON-0200,Camera Aligner Protective Cover,WA,Wheel Aligner,Camera Aligner,CON,Consumables & service kits,frequent,Medium,SUP-013,North America,39.07,Bin,Active,0.94,3.906,A,Anonymised/reconstructed warehouse transition dataset,A+,145,48.3,4.03,34.88,R-N53,D,254,199,16,809,254,16,1,0.781,2.7,19,30,48,17,610,38832
TC-CON-0911,HD1200 Truck Service Seal Pack,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,Medium,SUP-020,EU,43.68,Bin,Active,0.94,3.635,A,Anonymised/reconstructed warehouse transition dataset,A,120,40,3.33,36.77,R-G10,D,90,182,70,1147,182,70,1,0.727,1.3,5,10,18,7,568,20646
VL-CON-0407,Scissor Lift Protective Cover,VL,Vehicle Lift,Scissor Lift,CON,Consumables & service kits,frequent,Low,SUP-001,Italy,26.5,Bin,Active,0.9,3.938,A,Anonymised/reconstructed warehouse transition dataset,A,109,36.3,3.03,38.5,R-P17,ORANGE,923,962,728,646410,962,728,1,0.788,1,4,8,12,12,615,7756920
TC-CON-0475,HD1200 Truck Protective Cover,TC,Tyre Changer,HD1200 Truck,CON,Consumables & service kits,frequent,High,SUP-018,EU,5.91,Bin,Active,0.97,4.809,B,Anonymised/reconstructed warehouse transition dataset,A,94,31.3,2.61,39.98,R-Q64,F,295,488,107,15404,488,107,1,0.962,1.3,7,14,21,13,751,323484
WB-CON-0276,EM 9000 Grease Cartridge,WB,Wheel Balancer,EM 9000,CON,Consumables & service kits,frequent,Low,SUP-016,EU,25.31,Bin,Active,0.9,3.936,A,Anonymised/reconstructed warehouse transition dataset,A,86,28.7,2.39,41.34,R-B54,D,287,200,22,1263,287,22,1,0.787,1.1,3,8,14,7,615,17682
