Part_ID,On_Hand_Qty,On_Order_Qty,Allocated_Qty,Available_Qty,Avg_Weekly_Demand,Demand_SD,Demand_CV,Nonzero_Demand_Weeks,XYZ_Class,Lead_Time_Weeks,Safety_Stock_Qty,Reorder_Point_Qty,Suggested_Replenishment_Qty,Planner_Exception_Flag,Manual_Location,UDC_Type,Unit_Cost_EUR,ABC_Class,Movement_Class,Movement_Lines_36M,Criticality,Supplier_ID,Supplier_Region,Part_Category,Unit_Volume_cm3,Stock_Qty,Max_Stock_Qty,Stock_Managed,Estimated_Inventory_Value_EUR,Below_Reorder_Point,Stock_Coverage_Weeks,Total_Occupied_Volume_cm3,Part_Name,Equipment_Family,Equipment_Model,Demand_Profile,Storage_Type,Lifecycle_Status,Dim_X_mm,Dim_Y_mm,Dim_Z_mm,Max_Dimension_mm,Fits_Tray_Footprint,Fits_Height,Dimensionally_Feasible,Movement_Priority_For_Automation,Manual_Only_UDC,Compact_Item,Automation_Candidate,Automation_Exclusion_Reason
TC-CON-0343,46,0,9,37,3.0,3.27059233068696,1.09019744356232,102,Y,1.4,18,35,0,False,R-I38,VER,40.87,A,A+,473,Medium,SUP-015,EU,Consumables & service kits,72293,46,48,1,1512.1899999999998,False,12.333333333333334,3325478,Basic Line TC Grease Cartridge,Tyre Changer,Basic Line TC,frequent,Bin,Active,1543,689,68,1543,True,True,True,True,False,False,True,Candidate
VL-CON-0336,23,0,7,16,3.8525641025641,2.24845319498937,0.583625122160302,139,X,1.0,13,22,22,True,R-B17,D,29.16,A,A+,395,Medium,SUP-004,EU,Consumables & service kits,470,23,38,1,466.56,True,4.153078202995011,10810,Scissor Lift Air Filter,Vehicle Lift,Scissor Lift,frequent,Bin,Active,258,91,20,258,True,True,True,True,False,True,True,Candidate
TC-CON-0329,23,0,5,18,3.36538461538462,2.03227677331969,0.603876526929279,135,X,1.3,13,22,21,True,R-E25,B,43.54,A,A+,313,Medium,SUP-018,EU,Consumables & service kits,77,23,39,1,783.72,True,5.348571428571422,1771,A2024 LL Air Filter,Tyre Changer,A2024 LL,frequent,Bin,Active,61,30,42,61,True,True,True,True,False,True,True,Candidate
WA-CON-0631,16,7,4,19,3.6025641025641,2.11806206975816,0.587931820075219,141,X,1.3,15,21,13,True,R-F76,D,26.96,A,A+,231,Medium,SUP-020,EU,Consumables & service kits,2480,16,32,1,512.24,True,5.274021352313171,39680,Exact Precision Lubrication Kit,Wheel Aligner,Exact Precision,frequent,Bin,Active,177,98,143,177,True,True,True,True,False,True,True,Candidate
TC-CON-0171,17,0,2,15,2.92948717948718,3.42874411219784,1.17042468600189,95,Y,1.0,6,12,0,False,R-L86,B,40.68,A,A+,227,Medium,SUP-003,EU,Consumables & service kits,820,17,20,1,610.2,False,5.120350109409189,13940,Basic Line TC Air Filter,Tyre Changer,Basic Line TC,frequent,Bin,Active,135,132,46,135,True,True,True,True,False,True,True,Candidate
WA-CON-0494,34,0,1,33,3.21153846153846,2.15529240703007,0.671109012967448,130,X,1.4,9,16,0,False,R-F91,D,14.7,A,A+,227,High,SUP-005,Eastern Europe,Consumables & service kits,4650,34,28,1,485.1,False,10.275449101796411,158100,Camera Aligner O-Ring Kit,Wheel Aligner,Camera Aligner,frequent,Bin,Active,299,144,108,299,True,True,True,True,False,False,True,Candidate
VL-CON-0419,12,8,2,18,2.3974358974359,2.98313428413048,1.24430200086726,85,Y,1.3,13,19,8,True,R-H98,D,20.0,A,A+,196,High,SUP-020,EU,Consumables & service kits,2512,12,26,1,360.0,True,7.508021390374323,30144,ERCO Lift O-Ring Kit,Vehicle Lift,ERCO Lift,frequent,Bin,Active,151,131,127,151,True,True,True,True,False,True,True,Candidate
WA-CON-0200,17,18,0,35,2.55769230769231,3.03791181382633,1.18775499487947,95,Y,2.7,19,30,0,False,R-N53,D,39.07,A,A+,145,Medium,SUP-013,North America,Consumables & service kits,809,17,48,1,1367.45,False,13.684210526315775,13753,Camera Aligner Protective Cover,Wheel Aligner,Camera Aligner,frequent,Bin,Active,254,199,16,254,True,True,True,True,False,True,True,Candidate
TC-CON-0911,7,9,4,12,2.49358974358974,1.87512337614491,0.751977497888448,118,X,1.3,5,10,0,False,R-G10,D,43.68,A,A,120,Medium,SUP-020,EU,Consumables & service kits,1147,7,18,1,524.16,False,4.812339331619544,8029,HD1200 Truck Service Seal Pack,Tyre Changer,HD1200 Truck,frequent,Bin,Active,90,182,70,182,True,True,True,True,False,True,True,Candidate
TC-CON-0475,13,5,2,16,2.5,2.0991549759137,0.839661990365478,114,X,1.3,7,14,0,False,R-Q64,F,5.91,B,A,94,High,SUP-018,EU,Consumables & service kits,15404,13,21,1,94.56,False,6.4,200252,HD1200 Truck Protective Cover,Tyre Changer,HD1200 Truck,frequent,Bin,Active,295,488,107,488,True,True,True,True,False,False,True,Candidate
