Week_Start,Year,Month,Quarter,Year_Week
2022-01-03,2022,1,1,2022-W01
2022-01-10,2022,1,1,2022-W02
2022-01-17,2022,1,1,2022-W03
2022-01-24,2022,1,1,2022-W04
2022-01-31,2022,1,1,2022-W05
2022-02-07,2022,2,1,2022-W06
2022-02-14,2022,2,1,2022-W07
2022-02-21,2022,2,1,2022-W08
2022-02-28,2022,2,1,2022-W09
2022-03-07,2022,3,1,2022-W10
2022-03-14,2022,3,1,2022-W11
2022-03-21,2022,3,1,2022-W12
2022-03-28,2022,3,1,2022-W13
2022-04-04,2022,4,2,2022-W14
2022-04-11,2022,4,2,2022-W15
2022-04-18,2022,4,2,2022-W16
2022-04-25,2022,4,2,2022-W17
2022-05-02,2022,5,2,2022-W18
2022-05-09,2022,5,2,2022-W19
2022-05-16,2022,5,2,2022-W20
2022-05-23,2022,5,2,2022-W21
2022-05-30,2022,5,2,2022-W22
2022-06-06,2022,6,2,2022-W23
2022-06-13,2022,6,2,2022-W24
2022-06-20,2022,6,2,2022-W25
2022-06-27,2022,6,2,2022-W26
2022-07-04,2022,7,3,2022-W27
2022-07-11,2022,7,3,2022-W28
2022-07-18,2022,7,3,2022-W29
2022-07-25,2022,7,3,2022-W30
2022-08-01,2022,8,3,2022-W31
2022-08-08,2022,8,3,2022-W32
2022-08-15,2022,8,3,2022-W33
2022-08-22,2022,8,3,2022-W34
2022-08-29,2022,8,3,2022-W35
2022-09-05,2022,9,3,2022-W36
2022-09-12,2022,9,3,2022-W37
2022-09-19,2022,9,3,2022-W38
2022-09-26,2022,9,3,2022-W39
2022-10-03,2022,10,4,2022-W40
2022-10-10,2022,10,4,2022-W41
2022-10-17,2022,10,4,2022-W42
2022-10-24,2022,10,4,2022-W43
2022-10-31,2022,10,4,2022-W44
2022-11-07,2022,11,4,2022-W45
2022-11-14,2022,11,4,2022-W46
2022-11-21,2022,11,4,2022-W47
2022-11-28,2022,11,4,2022-W48
2022-12-05,2022,12,4,2022-W49
2022-12-12,2022,12,4,2022-W50
2022-12-19,2022,12,4,2022-W51
2022-12-26,2022,12,4,2022-W52
2023-01-02,2023,1,1,2023-W01
2023-01-09,2023,1,1,2023-W02
2023-01-16,2023,1,1,2023-W03
2023-01-23,2023,1,1,2023-W04
2023-01-30,2023,1,1,2023-W05
2023-02-06,2023,2,1,2023-W06
2023-02-13,2023,2,1,2023-W07
2023-02-20,2023,2,1,2023-W08
2023-02-27,2023,2,1,2023-W09
2023-03-06,2023,3,1,2023-W10
2023-03-13,2023,3,1,2023-W11
2023-03-20,2023,3,1,2023-W12
2023-03-27,2023,3,1,2023-W13
2023-04-03,2023,4,2,2023-W14
2023-04-10,2023,4,2,2023-W15
2023-04-17,2023,4,2,2023-W16
