Part_ID,On_Hand_Qty,On_Order_Qty,Allocated_Qty,Available_Qty,Avg_Weekly_Demand,Demand_SD,Demand_CV,Nonzero_Demand_Weeks,XYZ_Class,Lead_Time_Weeks,Safety_Stock_Qty,Reorder_Point_Qty,Suggested_Replenishment_Qty,Planner_Exception_Flag,Manual_Location,UDC_Type,Unit_Cost_EUR,ABC_Class,Movement_Class,Movement_Lines_36M,Criticality,Supplier_ID,Supplier_Region,Part_Category,Unit_Volume_cm3,Stock_Qty,Max_Stock_Qty,Stock_Managed,Estimated_Inventory_Value_EUR,Below_Reorder_Point,Stock_Coverage_Weeks,Total_Occupied_Volume_cm3
TC-CON-0343,46,0,9,37,3.0,3.27059233068696,1.09019744356232,102,Y,1.4,18,35,0,False,R-I38,VER,40.87,A,A+,473,Medium,SUP-015,EU,Consumables & service kits,72293,46,48,1,1512.1899999999998,False,12.333333333333334,3325478
VL-CON-0336,23,0,7,16,3.8525641025641,2.24845319498937,0.583625122160302,139,X,1.0,13,22,22,True,R-B17,D,29.16,A,A+,395,Medium,SUP-004,EU,Consumables & service kits,470,23,38,1,466.56,True,4.153078202995011,10810
TC-CON-0329,23,0,5,18,3.36538461538462,2.03227677331969,0.603876526929279,135,X,1.3,13,22,21,True,R-E25,B,43.54,A,A+,313,Medium,SUP-018,EU,Consumables & service kits,77,23,39,1,783.72,True,5.348571428571422,1771
WA-CON-0631,16,7,4,19,3.6025641025641,2.11806206975816,0.587931820075219,141,X,1.3,15,21,13,True,R-F76,D,26.96,A,A+,231,Medium,SUP-020,EU,Consumables & service kits,2480,16,32,1,512.24,True,5.274021352313171,39680
TC-CON-0171,17,0,2,15,2.92948717948718,3.42874411219784,1.17042468600189,95,Y,1.0,6,12,0,False,R-L86,B,40.68,A,A+,227,Medium,SUP-003,EU,Consumables & service kits,820,17,20,1,610.2,False,5.120350109409189,13940
WA-CON-0494,34,0,1,33,3.21153846153846,2.15529240703007,0.671109012967448,130,X,1.4,9,16,0,False,R-F91,D,14.7,A,A+,227,High,SUP-005,Eastern Europe,Consumables & service kits,4650,34,28,1,485.09999999999997,False,10.275449101796413,158100
VL-CON-0419,12,8,2,18,2.3974358974359,2.98313428413048,1.24430200086726,85,Y,1.3,13,19,8,True,R-H98,D,20.0,A,A+,196,High,SUP-020,EU,Consumables & service kits,2512,12,26,1,360.0,True,7.508021390374323,30144
WA-CON-0200,17,18,0,35,2.55769230769231,3.03791181382633,1.18775499487947,95,Y,2.7,19,30,0,False,R-N53,D,39.07,A,A+,145,Medium,SUP-013,North America,Consumables & service kits,809,17,48,1,1367.45,False,13.684210526315777,13753
TC-CON-0911,7,9,4,12,2.49358974358974,1.87512337614491,0.751977497888448,118,X,1.3,5,10,0,False,R-G10,D,43.68,A,A,120,Medium,SUP-020,EU,Consumables & service kits,1147,7,18,1,524.16,False,4.812339331619544,8029
VL-CON-0407,12,0,2,10,2.32692307692308,1.93495340125089,0.831550222025178,112,X,1.0,4,8,0,False,R-P17,ORANGE,26.5,A,A,109,Low,SUP-001,Italy,Consumables & service kits,646410,12,12,1,265.0,False,4.2975206611570185,7756920
TC-CON-0475,13,5,2,16,2.5,2.0991549759137,0.839661990365478,114,X,1.3,7,14,0,False,R-Q64,F,5.91,B,A,94,High,SUP-018,EU,Consumables & service kits,15404,13,21,1,94.56,False,6.4,200252
WB-CON-0276,7,4,2,9,2.22435897435897,3.09333042768182,1.39066151792036,85,Y,1.1,3,8,0,False,R-B54,D,25.31,A,A,86,Low,SUP-016,EU,Consumables & service kits,1263,7,14,1,227.79,False,4.046109510086463,8841
WB-CON-0672,13,4,0,17,2.6025641025641,2.01823777230082,0.775480523347113,118,X,1.1,9,14,0,False,R-M65,D,20.81,A,A,80,Medium,SUP-016,EU,Consumables & service kits,4353,13,21,1,353.77,False,6.532019704433504,56589
WB-CON-0005,18,0,1,17,2.23076923076923,1.75920126247279,0.788607462487802,115,X,1.0,10,15,0,False,R-D26,D,13.22,B,A,78,Medium,SUP-009,Italy,Consumables & service kits,3294,18,20,1,224.74,False,7.620689655172416,59292
TC-CON-0008,25,0,2,23,2.38461538461538,1.88187119802481,0.789171792720082,115,X,1.4,11,17,0,False,R-M40,B,19.02,A,A,59,Medium,SUP-007,Eastern Europe,Consumables & service kits,216,25,31,1,437.46,False,9.6451612903226,5400
TC-CON-0213,18,0,0,18,1.75641025641026,2.4792605423907,1.41154979785748,79,Y,1.6,4,11,0,False,R-M36,B,34.3,A,A,58,Medium,SUP-014,Eastern Europe,Consumables & service kits,202,18,18,1,617.4,False,10.24817518248173,3636
TC-CON-0378,9,0,0,9,2.41025641025641,1.94396268008713,0.806537707695725,118,X,1.1,4,9,0,False,R-Y59,B,9.5,B,A,58,High,SUP-016,EU,Consumables & service kits,406,9,16,1,85.5,False,3.7340425531914896,3654
AD-CON-0459,10,0,3,7,1.40384615384615,1.44033529319524,1.02599226364593,94,Y,1.0,4,8,7,True,R-G54,D,3.52,C,B,56,Medium,SUP-019,EU,Consumables & service kits,985,10,14,1,24.64,True,4.986301369863027,9850
WA-CON-0241,5,3,0,8,0.846153846153846,1.41491523126388,1.67217254603914,56,Y,1.0,6,11,7,True,R-B55,D,4.7,C,B,55,Medium,SUP-001,Italy,Consumables & service kits,904,5,15,1,37.6,True,9.454545454545455,4520
AD-CON-0798,8,4,1,11,0.993589743589744,1.51762460772045,1.52741573422187,67,Y,1.4,11,17,13,True,R-S24,B,30.37,A,B,55,High,SUP-005,Eastern Europe,Consumables & service kits,305,8,24,1,334.07,True,11.07096774193548,2440
WB-CON-0165,9,0,0,9,1.01282051282051,1.70761928025136,1.68600384632413,55,Y,1.0,4,8,0,False,R-E56,VER,34.17,A,B,55,Medium,SUP-002,Italy,Consumables & service kits,24223,9,12,1,307.53000000000003,False,8.886075949367113,218007
AD-CON-0588,12,7,0,19,1.10897435897436,1.88568022448551,1.70038216774416,61,Y,2.7,5,14,0,False,R-A36,F,27.55,A,B,55,Medium,SUP-013,North America,Consumables & service kits,6113,12,21,1,523.45,False,17.132947976878597,73356
AD-CON-0632,26,0,2,24,1.10897435897436,1.93298605020989,1.7430394441199,61,Y,2.7,9,18,0,False,R-S20,E,32.95,A,B,53,Medium,SUP-013,North America,Consumables & service kits,22048,26,30,0,790.8000000000001,False,21.641618497109807,573248
TE-CON-0893,8,5,0,13,1.08974358974359,1.66315593849918,1.52619015532866,64,Y,1.4,9,16,13,True,R-C81,D,5.25,C,B,53,High,SUP-005,Eastern Europe,Consumables & service kits,3234,8,26,1,68.25,True,11.929411764705879,25872
AD-CON-0483,7,4,1,10,0.801282051282051,1.46538499529986,1.82880047413422,49,Y,1.1,6,11,8,True,R-P98,E,5.34,C,B,51,Low,SUP-016,EU,Consumables & service kits,4612,7,18,1,53.4,True,12.480000000000004,32284
WB-CON-0087,21,0,1,20,1.46153846153846,1.58779463767025,1.08638580472175,87,Y,1.0,9,13,0,False,R-I26,B,7.88,B,B,51,High,SUP-004,EU,Consumables & service kits,627,21,19,1,157.6,False,13.684210526315805,13167
WB-CON-0665,15,0,0,15,1.06410256410256,1.59304734222622,1.4970806348632,68,Y,1.6,5,12,0,False,R-B73,E,8.89,B,B,50,Medium,SUP-014,Eastern Europe,Consumables & service kits,1524,15,18,1,133.35000000000002,False,14.096385542168727,22860
WB-CON-0763,23,0,1,22,1.37820512820513,1.5464546288014,1.12207870740939,87,Y,1.4,9,15,0,False,R-I40,B,5.3,C,B,48,Low,SUP-005,Eastern Europe,Consumables & service kits,130,23,24,1,116.6,False,15.962790697674398,2990
TC-CON-0981,26,0,0,26,1.30769230769231,1.43960292292089,1.1008728234101,88,Y,2.7,6,15,0,False,R-Y01,E,24.6,A,B,47,Low,SUP-013,North America,Consumables & service kits,1466,26,24,1,639.6,False,19.882352941176435,38116
TE-CON-0986,10,0,0,10,0.974358974358974,1.81374222996479,1.86147228864807,51,Y,1.1,6,10,0,False,R-M42,B,16.88,B,B,47,Medium,SUP-016,EU,Consumables & service kits,3,10,14,1,168.79999999999998,False,10.263157894736846,30
WB-CON-0120,25,0,3,22,1.39102564102564,1.56812490429408,1.12731559940036,88,Y,1.0,11,15,0,False,R-G35,E,6.28,C,B,46,Medium,SUP-012,Italy,Consumables & service kits,2765,25,25,1,138.16,False,15.815668202764988,69125
TC-CON-0491,11,0,5,6,1.11538461538462,1.76328702752536,1.58087802467791,61,Y,1.1,5,10,8,True,R-C44,F,2.7,C,B,45,Medium,SUP-016,EU,Consumables & service kits,18985,11,14,1,16.200000000000003,True,5.379310344827563,208835
VL-CON-0898,12,4,0,16,0.955128205128205,1.77924575799083,1.86283448487631,52,Y,1.1,11,17,10,True,R-F98,B,3.27,C,B,44,High,SUP-008,EU,Consumables & service kits,367,12,26,1,52.32,True,16.751677852348998,4404
VL-CON-0279,11,0,1,10,1.07051282051282,1.78203283517477,1.66465342686984,62,Y,1.3,6,11,9,True,R-N19,D,2.28,C,B,42,Medium,SUP-018,EU,Consumables & service kits,1024,11,19,1,22.799999999999997,True,9.341317365269465,11264
TC-CON-0576,11,0,0,11,1.07051282051282,1.81076415694939,1.69149226637189,57,Y,1.0,7,11,0,False,R-E44,PALLET,13.41,B,B,40,Medium,SUP-006,EU,Consumables & service kits,149537,11,15,1,147.51,False,10.275449101796411,1644907
TC-CON-0433,13,4,0,17,1.25641025641026,1.50213523239762,1.19557702170423,82,Y,1.3,9,14,0,False,R-Y61,D,25.82,A,B,39,Low,SUP-018,EU,Consumables & service kits,2421,13,23,1,438.94,False,13.530612244897922,31473
WB-CON-0813,12,3,2,13,1.08974358974359,1.78297249041356,1.63613946179127,55,Y,1.0,10,14,8,True,R-Y74,E,32.38,A,B,39,Medium,SUP-019,EU,Consumables & service kits,2764,12,21,1,420.94000000000005,True,11.929411764705879,33168
TC-CON-0699,14,5,0,19,0.512820512820513,1.58414393076607,3.08908066499383,28,Z,1.0,12,17,0,False,R-Y47,D,7.21,B,B,38,Medium,SUP-012,Italy,Consumables & service kits,527,14,23,1,136.99,False,37.04999999999999,7378
TC-CON-0347,9,3,0,12,0.448717948717949,1.26641414922338,2.82229438969783,23,Z,1.6,10,16,11,True,R-N62,B,18.94,A,B,37,Medium,SUP-014,Eastern Europe,Consumables & service kits,194,9,23,1,227.28000000000003,True,26.742857142857126,1746
TC-CON-0471,11,14,0,25,1.05128205128205,1.81674956746976,1.72812763734929,58,Y,2.7,8,18,0,False,R-T88,B,10.13,B,B,37,Medium,SUP-013,North America,Consumables & service kits,97,11,32,0,253.25000000000003,False,23.780487804878078,1067
WA-CON-0260,7,6,1,12,0.878205128205128,1.44732433317238,1.64804814580213,56,Y,1.3,8,14,10,True,R-H95,B,19.25,A,B,36,Low,SUP-018,EU,Consumables & service kits,390,7,22,1,231.0,True,13.664233576642339,2730
TE-CON-0635,7,8,1,14,1.24358974358974,1.52979777230593,1.23014666226663,77,Y,1.0,7,11,0,False,R-Y87,E,9.25,B,B,36,Low,SUP-006,EU,Consumables & service kits,6598,7,20,1,129.5,False,11.25773195876292,46186
WA-CON-0328,7,0,0,7,1.30128205128205,1.43872646101031,1.10562230501285,84,Y,1.1,3,7,0,False,R-E80,B,31.24,A,B,35,Medium,SUP-010,EU,Consumables & service kits,230,7,11,1,218.67999999999998,False,5.379310344827592,1610
TC-CON-0700,15,0,0,15,1.23076923076923,1.95710831403211,1.59015050515109,59,Y,1.3,6,11,0,False,R-F72,D,26.62,A,B,34,Medium,SUP-018,EU,Consumables & service kits,3025,15,18,1,399.3,False,12.187500000000009,45375
VL-CON-0238,13,14,1,26,0.58974358974359,1.51070073410426,2.56162298391592,29,Z,1.4,14,20,0,False,R-Z89,D,9.15,B,B,33,Medium,SUP-005,Eastern Europe,Consumables & service kits,4299,13,30,1,237.9,False,44.08695652173911,55887
TC-CON-0067,22,0,1,21,1.28846153846154,1.4635776553876,1.13591101612172,85,Y,1.3,8,13,0,False,R-N15,D,13.72,B,B,32,Medium,SUP-020,EU,Consumables & service kits,2844,22,19,1,288.12,False,16.298507462686548,62568
AD-CON-0771,17,0,0,17,1.03205128205128,1.5633705184627,1.51481863900734,61,Y,1.4,6,11,0,False,R-I26,E,4.63,C,B,32,Medium,SUP-015,EU,Consumables & service kits,8632,17,16,1,78.71,False,16.47204968944103,146744
WA-CON-0741,18,0,0,18,0.769230769230769,1.95050416591216,2.53565541568581,35,Z,1.0,11,15,0,False,R-S32,PALLET,19.86,A,B,32,Medium,SUP-011,EU,Consumables & service kits,65626,18,23,0,357.48,False,23.400000000000006,1181268
TC-CON-0333,14,0,0,14,1.08974358974359,1.79379502145337,1.64607072556898,61,Y,1.0,5,9,0,False,R-L16,D,2.18,C,B,31,High,SUP-012,Italy,Consumables & service kits,4306,14,14,1,30.520000000000003,False,12.847058823529407,60284
AD-CON-0592,10,3,0,13,1.01282051282051,1.6962470129279,1.6747755317516,60,Y,1.4,5,11,0,False,R-G17,E,8.36,B,B,29,Medium,SUP-007,Eastern Europe,Consumables & service kits,2577,10,16,1,108.67999999999999,False,12.835443037974718,25770
VL-CON-0387,9,6,1,14,1.31410256410256,1.44492208598735,1.09955046543427,84,Y,2.7,13,23,19,True,R-G14,E,4.44,C,B,29,High,SUP-013,North America,Consumables & service kits,6018,9,33,1,62.160000000000004,True,10.653658536585398,54162
TC-CON-0740,17,0,1,16,0.942307692307692,1.47775062113437,1.56822514895893,63,Y,1.0,6,10,0,False,R-S07,D,12.19,B,B,29,Medium,SUP-017,EU,Consumables & service kits,5910,17,15,1,195.04,False,16.9795918367347,100470
VL-CON-0350,9,9,1,17,1.08333333333333,1.79590334294591,1.65775693195007,60,Y,1.1,10,15,0,False,R-I48,F,4.56,C,B,28,High,SUP-016,EU,Consumables & service kits,27463,9,23,1,77.52,False,15.692307692307741,247167
TC-CON-0303,20,0,0,20,1.00641025641026,1.61243872550464,1.60216841515111,60,Y,1.4,5,10,0,False,R-H59,B,6.75,B,B,27,Medium,SUP-005,Eastern Europe,Consumables & service kits,124,20,17,1,135.0,False,19.872611464968085,2480
VL-CON-0536,16,0,2,14,1.24358974358974,1.39756375523933,1.1238141536976,82,Y,1.6,5,11,0,False,R-Z95,B,29.82,A,B,27,Low,SUP-014,Eastern Europe,Consumables & service kits,137,16,20,1,417.48,False,11.25773195876292,2192
